ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,7.70%,-1.59%,0.736939118061755,9.59%,60.00%,30.00%
2,0.000,1.000,0.000,0.000,0.000,0.000,16.75%,-1.74%,1.16984069330904,10.30%,70.00%,40.00%
3,0.000,0.000,1.000,0.000,0.000,0.000,9.76%,-2.60%,1.04922101726706,11.13%,55.00%,30.00%
4,0.000,0.000,0.000,1.000,0.000,0.000,20.34%,-1.68%,1.4389158674478,16.43%,70.00%,40.00%
5,0.000,0.000,0.000,0.000,1.000,0.000,17.85%,-0.89%,1.01698257722442,7.94%,85.00%,25.00%
6,0.000,0.000,0.000,0.000,0.000,1.000,8.36%,-3.28%,1.10807323220207,10.67%,55.00%,40.00%
7,0.500,0.500,0.000,0.000,0.000,0.000,14.39%,-0.18%,0.754226231908235,9.13%,70.00%,35.00%
8,0.500,0.000,0.500,0.000,0.000,0.000,8.65%,-2.45%,0.971649447798019,11.16%,55.00%,30.00%
9,0.000,0.500,0.500,0.000,0.000,0.000,14.22%,-1.54%,1.02158663943514,10.09%,60.00%,40.00%
10,0.500,0.000,0.000,0.500,0.000,0.000,11.22%,-0.53%,0.680928616221562,8.78%,65.00%,40.00%
11,0.000,0.500,0.000,0.500,0.000,0.000,22.03%,-0.99%,1.2948600557805,12.81%,65.00%,40.00%
12,0.000,0.000,0.500,0.500,0.000,0.000,11.82%,-2.19%,1.05491561523588,10.72%,65.00%,25.00%
13,0.500,0.000,0.000,0.000,0.500,0.000,12.10%,-0.71%,0.739862524600847,8.05%,70.00%,25.00%
14,0.000,0.500,0.000,0.000,0.500,0.000,18.26%,-1.17%,1.1024392488103,8.95%,65.00%,45.00%
15,0.000,0.000,0.500,0.000,0.500,0.000,13.72%,-1.44%,0.96412601811546,9.05%,65.00%,30.00%
16,0.000,0.000,0.000,0.500,0.500,0.000,18.55%,-1.47%,1.21266136040627,11.43%,75.00%,25.00%
