ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,22.18%,6.29%,1.58044040356646,16.44%,65.00%,80.00%
2,0.000,1.000,0.000,0.000,0.000,0.000,14.24%,3.99%,1.20756114947585,12.08%,55.00%,80.00%
3,0.000,0.000,1.000,0.000,0.000,0.000,29.57%,7.62%,1.31686207007236,14.78%,65.00%,85.00%
4,0.000,0.000,0.000,1.000,0.000,0.000,0.21%,1.25%,1.43796367969383,15.97%,50.00%,55.00%
5,0.000,0.000,0.000,0.000,1.000,0.000,3.05%,1.23%,1.10928734225536,10.45%,60.00%,75.00%
6,0.000,0.000,0.000,0.000,0.000,1.000,8.83%,3.14%,1.47953852985436,15.19%,55.00%,65.00%
7,0.500,0.500,0.000,0.000,0.000,0.000,29.75%,7.16%,0.902055261328428,10.25%,80.00%,85.00%
8,0.500,0.000,0.500,0.000,0.000,0.000,26.86%,7.14%,1.36887979640848,15.28%,65.00%,75.00%
9,0.000,0.500,0.500,0.000,0.000,0.000,28.23%,6.96%,1.04927138382189,11.51%,80.00%,85.00%
10,0.500,0.000,0.000,0.500,0.000,0.000,20.03%,5.33%,1.10871549054225,12.28%,75.00%,70.00%
11,0.000,0.500,0.000,0.500,0.000,0.000,11.94%,3.40%,1.05805568485851,11.20%,60.00%,80.00%
12,0.000,0.000,0.500,0.500,0.000,0.000,24.25%,6.39%,1.18958930293802,13.51%,70.00%,85.00%
13,0.500,0.000,0.000,0.000,0.500,0.000,18.15%,4.92%,1.21834036559764,12.35%,70.00%,85.00%
14,0.000,0.500,0.000,0.000,0.500,0.000,8.65%,2.42%,0.916896278879272,8.74%,60.00%,90.00%
15,0.000,0.000,0.500,0.000,0.500,0.000,19.54%,5.09%,1.02851719792512,10.98%,75.00%,90.00%
16,0.000,0.000,0.000,0.500,0.500,0.000,-0.72%,0.49%,1.1419565597091,11.95%,55.00%,70.00%
17,0.500,0.000,0.000,0.000,0.000,0.500,20.64%,5.71%,1.36470891519764,14.57%,65.00%,75.00%
18,0.000,0.500,0.000,0.000,0.000,0.500,20.03%,5.27%,1.10465895420441,12.00%,65.00%,80.00%
19,0.000,0.000,0.500,0.000,0.000,0.500,22.92%,6.23%,1.28611536585045,14.60%,65.00%,70.00%
20,0.000,0.000,0.000,0.500,0.000,0.500,7.15%,2.66%,1.27420997455208,14.37%,55.00%,50.00%
21,0.000,0.000,0.000,0.000,0.500,0.500,5.61%,2.07%,1.31196999833117,12.64%,60.00%,65.00%
